Zeitstempel,Einwilligungserklärung,Geschlecht,Alter,Machst du dir aufgrund des Klimawandels Sorgen?,Willst du etwas zur Energiewende und Klimaschutz beitragen?,"Glaubst du, der Klimawandel hat direkte Auswirkungen auf die Lebensqualität in Städten?",Interessierst du dich für Ökostrom?,Ist Car-Sharing für dich interessant?,Welche Erfahrungen hast du mit E-Autos gemacht?,"Wenn du dir ein neues Auto kaufen würdest, wäre es ein E-Auto?",Setzt du dich seit dem Ukraine-Krieg mehr mit dem Thema Energie auseinander?,Was braucht mehr Strom? (in Watt),Wie viel Energie steckt in 1L Benzin?,Hast du bereits Erfahrung mit Virtual Reality?,Wie bist du mit der VR-Umgebung zurechtgekommen?,"Wie einfach war es für dich, klimafreundliche Maßnahmen umzusetzen?",Welche Maßnahmen hast du in der VR-Umgebung umgesetzt?,Wie realistisch fandest du die VR-Simulation?,"Hat dir die VR-Erfahrung geholfen zu verstehen, welche Maßnahmen ergriffen werden können, um die thermischen Bedingungen in Städten zu verbessern?","Hat Ihnen die VR-Erfahrung geholfen, die Vorteile dieser Maßnahmen zu verstehen?",Nach dem Testen der VR-Simulation würdest du jetzt eher eine Dachbegrünung anlegen?,"Hat dir die VR-Erfahrung geholfen zu verstehen, wie eine Photovoltaik Anlage genutzt werden kann?","Hat Ihnen die VR-Erfahrung geholfen, die Vorteile einer Photovoltaik Anlage zu verstehen?","Nach dem Testen der VR Simulation, würdest du jetzt eher eine PV Anlage auf deinem Dach installieren lassen?","Hat die VR-Erfahrung dich inspiriert, dich selbst an der Klimaaktion zu beteiligen?",Was hat dir an dem VR-Erlebnis am besten gefallen?,Was hat dir an dem VR-Erlebnis am wenigsten gefallen?,"Hast du irgendwelche Vorschläge, wie das VR-Erlebnis verbessert werden könnte?","Wir planen eine Möglichkeit, verschiedene Ausrichtungen der Solarpanele (Ost/Süd/West) auszuprobieren und dafür die erzeugte Energie zu simulieren. Was hältst du von der Idee?","Kennst du Maßnahmen, die Städte umsetzen können, um im Sommer die Außentemperatur zu senken?","Wie effektiv denkst du, sind diese Maßnahmen?"
18.03.2023 15:46:04,"Ich bin damit einverstanden, an der oben beschriebenen Studie teilzunehmen.",weiblich,20 - 29,3,3,5,5,4,Ich besitze ein E-Auto,1,5,Fernseher,100kWh,3,4,4,Photovoltaik Anlage,4,4,5,3,5,5,3,5,,,,,,5
18.03.2023 16:30:23,"Ich bin damit einverstanden, an der oben beschriebenen Studie teilzunehmen.",weiblich,20 - 29,4,4,5,4,1,Ich habe ein E-Auto gefahren,3,2,Föhn,10kWh,4,4,5,"Photovoltaik Anlage, Ladestation für E-Autos, Begrünung des Innenhofes",3,4,3,4,3,4,4,3,Die einfache durchführung und verschiedenen Optionen in Operationen,Die Framerate und manchmaliges stocken für zu schwindelgefühle,"Untersuchung und testung woran die aussetzer in der Bewegung liegen könnte, wäre noch gut","Die erzeugte Energie könnte in verschiedenen Farbstärken der gleichen Farbe dargestellt, wo helle schadierung für wenig strom steht und die dunkle Schadierung für am meisten produzierten strom ist. Außerdem könnte man auch verschiedene störfactoren mit einbauen, und deren einfluss mit einbauen","Begrünung der freien Flächen, straßen nicht mit schwarzen Asphalt auszustatten, Besondere beläge, die energie aufnehmen können und jene auch efektive weiter leiten können (geplante studie und versuche in einem der Beneluxs länder, wenn ich mich richtig dran erinne",4
18.03.2023 18:32:51,"Ich bin damit einverstanden, an der oben beschriebenen Studie teilzunehmen.",männlich,unter 20,3,4,5,2,1,,4,4,Föhn,100kWh,1,2,3,"Photovoltaik Anlage, Ladestation für E-Autos, Begrünung des Innenhofes",3,3,3,2,2,3,3,2,,,,,,3
18.03.2023 18:49:44,"Ich bin damit einverstanden, an der oben beschriebenen Studie teilzunehmen.",männlich,20 - 29,4,4,5,1,1,Ich habe ein E-Auto gefahren,4,3,Fernseher,100kWh,4,4,5,"Photovoltaik Anlage, Ladestation für E-Autos, Begrünung des Innenhofes",5,5,5,2,3,3,3,2,,,,,,
18.03.2023 18:51:08,"Ich bin damit einverstanden, an der oben beschriebenen Studie teilzunehmen.",männlich,unter 20,4,4,5,5,3,,5,1,Föhn,100kWh,5,5,5,"Photovoltaik Anlage, Ladestation für E-Autos, Begrünung des Innenhofes",3,5,5,5,4,5,5,5,,,Umsehen ruckelt sehr,😊👍,,5
18.03.2023 19:17:00,"Ich bin damit einverstanden, an der oben beschriebenen Studie teilzunehmen.",männlich,30 - 39,4,5,5,5,5,Ich habe ein E-Auto gefahren,4,4,Föhn,10kWh,5,5,5,"Photovoltaik Anlage, Ladestation für E-Autos, Begrünung des Innenhofes",4,3,3,3,3,3,3,3,war ganz nett,im Vergleich zu professionelleren Spielen wird einem relativ leicht übel,weniger Ruckler,gefällt mir gut,ich arbeite daran in meiner Taskforce,5
18.03.2023 21:47:26,"Ich bin damit einverstanden, an der oben beschriebenen Studie teilzunehmen.",weiblich,20 - 29,4,4,4,3,1,,3,2,Fernseher,10kWh,3,4,4,"Photovoltaik Anlage, Ladestation für E-Autos, Begrünung des Innenhofes",4,5,5,3,2,1,2,2,echten 3d aufnahmen,Schwindelanfälle beim Fliegen,,klingt super,Bäume pflanzen,4
18.03.2023 22:16:10,"Ich bin damit einverstanden, an der oben beschriebenen Studie teilzunehmen.",männlich,20 - 29,4,4,5,4,2,Ich habe ein E-Auto gefahren,4,3,Föhn,3 kWh,2,3,4,"Photovoltaik Anlage, Ladestation für E-Autos, Begrünung des Innenhofes",3,4,3,4,2,1,2,3,Der Vergleich von Simulation und echter Welt,"die PV Anlage hatte wenig offensichtlichen Nutzen, bei Bewegungen wird einem schwindlig",Die Drehfunktion sollte nicht ein plötzlicher Sprung sein,"gut, wenn man die Ergebnisse davon veröffentlicht",Bäume pflanzen,4
18.03.2023 23:42:32,"Ich bin damit einverstanden, an der oben beschriebenen Studie teilzunehmen.",männlich,20 - 29,4,3,5,3,2,"Ich habe ein E-Auto gefahren, Ich habe ein E-Auto geladen",2,1,Föhn,10kWh,5,5,5,"Photovoltaik Anlage, Ladestation für E-Autos, Begrünung des Innenhofes",4,4,4,5,4,4,4,4,Thematik,texturen,bessere texturen,cool,emmisionen senken,3
19.03.2023 00:15:37,"Ich bin damit einverstanden, an der oben beschriebenen Studie teilzunehmen.",männlich,20 - 29,4,5,5,5,3,,5,3,Föhn,10kWh,2,3,5,"Photovoltaik Anlage, Ladestation für E-Autos, Begrünung des Innenhofes",2,2,2,3,1,1,3,2,Vergleich mit der realen Aufnahmen,,,"Gut, schafft mehr tiefe für die Photovoltaik","Begrünung, Helle farben verwenden, Nebelsprüher",4
